1,2018,2411.68992614746,4000,1588.31007385254,60.2922481536865
2,2018,2647.55993652344,4000,1352.44006347656,66.1889984130859
3,2018,2880.44993591309,6000,3119.55006408691,48.0074989318848
4,2018,4778.82984924316,4000,-778.829849243164,119.470746231079
5,2018,10518.0799713135,4000,-6518.07997131348,262.951999282837
6,2018,3162.71994018555,4000,837.280059814453,79.0679985046387
7,2018,2278.22993469238,4000,1721.77006530762,56.9557483673096
8,2018,2015.3299407959,6000,3984.6700592041,33.5888323465983
9,2018,2584.07991027832,4000,1415.92008972168,64.601997756958
10,2018,2179.55003356934,4000,1820.44996643066,54.4887508392334
11,2018,2419.21005249023,4000,1580.78994750977,60.4802513122559
12,2018,2359.7600402832,4000,1640.2399597168,58.9940010070801
1,2019,4905.88000488281,4000,-905.880004882813,122.64700012207
2,2019,2683.80003356934,4000,1316.19996643066,67.0950008392334
3,2019,2557.91998291016,6000,3442.08001708984,42.6319997151693
4,2019,4302.68002319336,4000,-302.680023193359,107.567000579834
5,2019,3860.10000610352,4000,139.899993896484,96.5025001525879
6,2019,11727.2200088501,4000,-7727.2200088501,293.180500221252
7,2019,3036.93998718262,4500,1463.06001281738,67.4875552707248
8,2019,3787.96994781494,6750,2962.03005218506,56.1180733009621
9,2019,5400.13995361328,4500,-900.139953613281,120.003110080295
